proper,ra,dec,dist,mag,absmag,ci,temp,x,y,z,con,lum,var,var_min,var_max
,5.09701,35.846054,70.1262,7.31,3.081,0.453,6610.032095,13.313183,55.262832,41.066563,Aur,5.10035024,,,
,14.673719,-29.301627,70.1262,7.82,3.591,0.462,6566.410523,-46.774154,-39.395527,-34.320388,Hya,3.188599693,,,
,12.062345,5.55775,70.1262,6.39,2.161,0.476,6499.778878,-69.7873,-1.139163,6.791657,Vir,11.90145339,,,
,10.876427,38.334376,70.1262,7.65,3.421,0.483,6467.008185,-52.644664,15.948112,43.495759,LMi,3.7290654,,,
,20.720493,-76.547424,70.1262,7.68,3.451,0.599,5971.461669,10.661751,-12.348333,-68.202317,Oct,3.627438015,,,
,18.966246,-38.169064,70.1262,8.03,3.801,0.637,5826.348778,13.798196,-53.377987,-43.33687,CrA,2.627846541,,,
,16.483057,-24.537989,70.1262,7.57,3.341,0.725,5517.591829,-24.673665,-58.828017,-29.123163,Oph,4.014209182,,,
,1.843593,-54.009503,70.1262,9.51,5.281,0.74,5468.409019,36.502117,19.126886,-56.740124,Eri,0.672357107,,,
,14.778831,-45.40304,70.1262,10.15,5.921,0.811,5247.729703,-36.772043,-32.742436,-49.934293,Lup,0.37290654,,10.201,10.071
,4.714518,18.144884,70.1262,10.27,6.041,0.818,5226.992979,22.005622,62.900753,21.838767,Tau,0.333887377,,,
,1.665697,-51.59345,70.1262,10.18,5.951,0.923,4935.556864,39.488034,18.401244,-54.952464,Phe,0.362743801,,,
,19.344467,65.714531,70.1754,4.6,0.369,0.033,9731.412063,9.950368,-27.092377,63.965175,Dra,62.00118642,,,
,5.348118,9.724651,70.1754,6.62,2.389,0.155,8528.46818,11.746993,68.162217,11.853569,Ori,9.647171519,,,
,20.262702,15.317135,70.1754,6.86,2.629,0.259,7732.794451,37.789253,-56.150487,18.537562,Del,7.73392578,,,
,10.072486,-24.285534,70.1754,5.7,1.469,0.303,7442.850991,-55.992571,30.92581,-28.862051,Hya,22.51127016,,,
,21.370153,-83.20971,70.1754,7.19,2.959,0.339,7222.67656,6.407178,-5.271831,-69.683158,Oct,5.706896549,,,
,6.203116,-65.53115,70.1754,6.85,2.619,0.481,6476.334733,-1.544955,29.025455,-63.872708,Lyn,7.805486915,,6.889,6.729
,19.765399,-57.54735,70.1754,7.98,3.749,0.491,6429.990488,16.791071,-33.705432,-59.216472,Pav,2.75676661,,,
,4.448115,-18.656151,70.1754,7,2.769,0.551,6166.275262,26.275876,61.075694,-22.448268,Eri,6.798294905,,,
,3.315842,2.304213,70.1754,9,4.769,0.568,6095.73218,45.316894,53.50706,2.821421,Cet,1.077457131,,,
,9.726469,10.518869,70.1754,7.01,2.779,0.572,6079.385356,-57.130922,38.68486,12.811174,Leo,6.735967762,,,
,11.971855,-51.515836,70.1754,8.44,4.209,0.575,6067.186986,-43.668847,0.321735,-54.931913,Cen,1.804679147,,,
,10.395402,2.619345,70.1754,7.87,3.639,0.601,5963.63075,-64.007068,28.590153,3.207035,Sex,3.050703498,,,
,15.673011,54.959689,70.1754,8.69,4.459,0.605,5948.034895,-23.05527,-33.043162,57.45599,Dra,1.433507601,,,
,12.456976,-41.494816,70.1754,9.44,5.209,0.618,5897.947545,-52.186756,-6.273451,-46.494871,Cen,0.718455709,,,
,22.81625,-44.60417,70.1754,8.52,4.289,0.634,5837.529714,47.58302,-15.23713,-49.277508,Gru,1.676486266,,,
,21.384124,-51.942374,70.1754,7.66,3.429,0.642,5807.815552,33.505775,-27.363858,-55.255488,Ind,3.70168961,,,
,21.850141,-76.206568,70.1754,9.19,4.959,0.726,5514.28361,14.150581,-8.92747,-68.151655,Oct,0.904482149,,,
,3.916623,28.188103,70.1754,8.05,3.819,0.737,5478.170622,32.088077,52.878167,33.148543,Tau,2.584639636,,,
,17.026561,-57.58838,70.1754,10.27,6.039,0.855,5120.212718,-9.48228,-36.399038,-59.243423,Ara,0.334502987,,10.325,10.215
,8.739987,-42.649276,70.1754,4.05,-0.181,0.874,5067.157622,-33.930288,38.895322,-47.544435,Vel,102.8963572,,,
,12.572451,6.378843,70.1754,8,3.769,0.915,4956.546437,-68.959211,-10.412811,7.796625,Vir,2.706449949,,,
,23.197001,26.847308,70.1754,6.19,1.959,0.937,4899.274112,61.232881,-13.065769,31.692179,Peg,14.33507601,,,
,15.78667,15.153264,70.1754,9.74,5.509,0.972,4810.986555,-37.089353,-56.67861,18.343986,Ser,0.545004389,,9.813,9.663
,20.161897,-45.36715,70.1754,7.93,3.699,1.004,4733.154799,26.438266,-41.61437,-49.938453,Tel,2.886689018,,,
,3.950477,6.039967,70.2247,6.09,1.858,0.058,9454.94686,35.698621,60.021052,7.389203,Tau,15.73258185,,,
,6.647961,33.018038,70.2247,7.12,2.888,0.374,7021.789425,-9.940857,58.038157,38.265652,Aur,6.092562597,,,
,8.396936,57.417196,70.2247,7.56,3.328,0.421,6770.355529,-22.203794,30.612688,59.172319,Lyn,4.062561982,,,
,16.04968,-8.048205,70.2247,7.12,2.888,0.427,6739.65499,-33.980398,-60.664445,-9.831893,Oph,6.092562597,,,
,17.654427,30.253358,70.2247,7.18,2.948,0.453,6610.032095,-5.480527,-60.412389,35.380907,Her,5.765009138,,,
,6.856079,23.363786,70.2247,7.93,3.698,0.493,6420.807487,-14.327674,62.854337,27.848851,Gem,2.889348982,,,
,19.752875,-70.01654,70.2247,7.8,3.568,0.536,6229.996835,10.630682,-21.51629,-65.996564,Pav,3.256866822,,,
,23.112776,34.583762,70.2247,9.89,5.658,0.575,6067.186986,56.263175,-13.308731,39.860273,Peg,0.475116376,,,
,12.068211,3.340753,70.2247,9.21,4.978,0.585,6026.90314,-70.09429,-1.251858,4.092288,Vir,0.88879172,,,
,10.65486,21.599413,70.2247,8.35,4.118,0.619,5894.132132,-61.28653,22.52127,25.850767,Leo,1.962456324,,,
,2.664377,0.146289,70.2247,7.83,3.598,0.656,5756.588113,53.822386,45.107397,0.1793,Cet,3.168108159,,,
,18.727938,-50.165011,70.2247,9.31,5.078,0.685,5653.490772,8.520957,-44.169869,-53.924796,Tel,0.810587682,,,
,18.131949,32.126071,70.2247,9.55,5.318,0.7,5601.697844,2.053954,-59.436418,37.344371,Her,0.649830363,,,
,20.230963,44.84065,70.2247,9.77,5.538,0.791,5307.953811,27.457655,-41.5397,49.518066,Cyg,0.530640019,,,
,22.13855,24.156776,70.2247,6.57,2.338,0.842,5157.198462,56.615946,-30.004133,28.738393,Peg,10.11113712,,,
,9.942355,17.504601,70.2247,10.14,5.908,0.87,5078.230006,-57.488204,34.357839,21.122353,Leo,0.377398353,,,
,21.021517,-32.257767,70.2247,4.67,0.438,0.89,5023.375178,42.228148,-41.75506,-37.481056,Mic,58.1835211,,,
,10.7236,23.188404,70.2741,5.08,0.846,0.042,9629.834525,-61.024025,21.186368,27.670908,LMi,39.95765566,,,
,18.539257,-39.704001,70.2741,5.16,0.926,0.079,9235.814124,7.607531,-53.527785,-44.892575,CrA,37.119319,,,
,18.350382,-43.774836,70.2741,6.65,2.416,0.276,7617.881422,4.648052,-50.529077,-48.617458,CrA,9.410224835,,,
,18.626349,46.149954,70.2741,7.4,3.166,0.401,6874.9213,7.947357,-48.030965,50.678546,Lyr,4.716284553,,,
,15.413672,10.992832,70.2741,7.17,2.936,0.448,6634.538697,-43.221265,-53.766192,13.400301,Ser,5.829079789,,,
,11.610414,-34.646472,70.2741,7.57,3.336,0.495,6411.652779,-57.512329,5.886413,-39.951612,Hya,4.03273793,,,
,11.208595,-31.135775,70.2741,8.45,4.216,0.521,6295.155047,-58.864278,12.373605,-36.33648,Hya,1.793081377,,,
,12.102427,-69.125448,70.2741,7.17,2.936,0.553,6157.884927,-25.031279,-0.671347,-65.661507,Mus,5.829079789,,,
,15.501538,39.909049,70.2741,7.63,3.396,0.554,6153.698972,-32.797876,-42.778713,45.08581,Boo,3.815926491,,,
,6.134453,39.209453,70.2741,8.54,4.306,0.559,6132.860763,-1.916255,54.41747,44.424275,Aur,1.650440986,,,
,10.826503,-29.994421,70.2741,7.86,3.626,0.559,6132.860763,-58.01284,18.405533,-35.131124,Hya,3.087450476,,,
,16.53974,-34.238364,70.2741,8.65,4.416,0.559,6132.860763,-21.672741,-53.901983,-39.538812,Sco,1.491420128,,,
,12.885788,-60.881698,70.2741,8.76,4.526,0.576,6063.132553,-33.281038,-7.859125,-61.392636,Cru,1.347721014,,,
,18.422891,-41.742607,70.2741,8.6,4.366,0.59,6006.976021,5.793322,-52.113522,-46.78747,CrA,1.561708593,,,
,6.066639,-54.132307,70.2741,9.34,5.106,0.637,5826.348778,-0.718373,41.168418,-56.948173,Pic,0.789950721,,,
,18.78386,82.725072,70.2741,9.34,5.106,0.656,5756.588113,1.813849,-8.712029,69.70839,Dra,0.789950721,,,
,10.515112,15.906065,70.2741,9.95,5.716,0.688,5643.050397,-62.540823,25.615824,19.259392,Leo,0.450401678,,10.016,9.896
,16.525698,26.4334,70.2741,8.9,4.666,0.738,5474.912626,-23.689579,-58.297931,31.283118,Her,1.184677118,,,
,21.012019,33.88912,70.2741,9.62,5.386,0.751,5432.93165,41.379231,-41.119651,39.183959,Cyg,0.610379586,,,
,16.665794,-47.783585,70.3235,7.27,3.034,0.432,6714.300869,-16.171544,-44.399275,-52.082436,Ara,5.325985748,,,
,9.714116,-22.965491,70.3235,7.92,3.684,0.455,6600.284253,-53.497042,36.477186,-27.438587,Hya,2.926846862,,,
,15.451727,-20.741058,70.3235,8.66,4.424,0.583,6034.913844,-40.691892,-51.665456,-24.904722,Lib,1.480471325,,,
,12.135724,22.24183,70.3235,9.29,5.054,0.587,6018.915262,-65.049958,-2.312375,26.618615,Com,0.828705078,,,
,23.969956,20.834617,70.3235,8.57,4.334,0.629,5856.267231,65.723081,-0.516933,25.012079,Peg,1.608421982,,,
,19.604331,4.765321,70.3235,9.18,4.944,0.66,5742.128942,28.577103,-63.989879,5.842158,Aql,0.917064749,,,
,23.154423,11.978631,70.3235,9.05,4.814,0.679,5674.495993,67.113488,-15.104568,14.595422,Peg,1.033713052,,,
,23.863523,-33.452492,70.3235,7.86,3.624,0.719,5537.530484,58.636485,-2.095957,-38.765503,Scl,3.093143011,,,
,21.673579,14.172455,70.3235,9.56,5.324,0.757,5413.786377,55.922982,-39.007076,17.218096,Peg,0.646249172,,,
,21.40715,-29.247359,70.3235,9.67,5.434,0.78,5341.70865,47.756781,-38.524829,-34.358727,Mic,0.583982725,,,
,1.568376,-67.132447,70.3235,10.16,5.924,0.86,5106.136867,25.056226,10.908614,-64.796468,Hyi,0.371877583,,,
,7.317995,-76.416894,70.373,8.24,4.003,0.523,6286.382449,-5.590202,15.553375,-68.404688,Men,2.181724959,,,
,17.108121,-39.305119,70.373,7.95,3.713,0.558,6137.016243,-12.599341,-52.97582,-44.577778,Sco,2.849705627,,,
,2.649095,-8.385496,70.373,9.6,5.363,0.62,5890.322012,53.53782,44.505486,-10.262678,Cet,0.623447661,,,
,6.826091,40.175529,70.373,8.15,3.913,0.626,5867.571805,-11.538517,52.517703,45.400085,Aur,2.370281899,,,
,8.854816,-6.262833,70.373,9.38,5.143,0.764,5391.631155,-47.548882,51.308161,-7.676957,Hya,0.763484105,,,
,10.443063,-21.756348,70.373,9.33,5.093,0.799,5283.688507,-60.005437,25.909585,-26.084479,Hya,0.799466003,,,
,20.145404,-46.304625,70.373,8.94,4.703,0.81,5250.706383,25.89236,-41.146555,-50.881291,Tel,1.144985535,,,
,0.529004,-53.480252,70.373,9.64,5.403,0.817,5229.944697,41.477971,5.781451,-56.555387,Phe,0.60089695,,9.692,9.572
,20.390102,33.489387,70.373,11.54,7.303,0.948,4871.159521,34.374055,-47.570671,38.830591,Cyg,0.104423922,,11.646,11.376
,12.976064,28.319569,70.4225,6.94,2.701,0.256,7753.469133,-59.980939,-15.669627,33.407622,Com,7.237690371,,,
,19.717915,39.997121,70.4225,6.95,2.711,0.308,7411.397149,23.453781,-48.584144,45.264,Cyg,7.171334827,,,
,0.177328,-73.224389,70.4225,6.66,2.421,0.372,7032.940844,20.303695,0.943521,-67.42537,Tuc,9.36698878,,,
,14.774448,-22.404036,70.4225,7.34,3.101,0.434,6704.21703,-48.674252,-43.240402,-26.840515,Lib,5.007258356,,,
,11.915478,11.69485,70.4225,8.87,4.631,0.525,6277.636181,-68.943719,1.525833,14.27459,Leo,1.223488805,,,
,14.392033,39.327785,70.4225,7.21,2.971,0.587,6018.915262,-44.137064,-31.927034,44.630578,Boo,5.644168882,,,
,22.706102,-6.871129,70.4225,8.74,4.501,0.614,5913.26236,65.943589,-23.233362,-8.425107,Aqr,1.379113469,,,
,15.816281,45.793703,70.4225,9.18,4.941,0.65,5778.423731,-26.567118,-41.293595,50.481241,Boo,0.919602197,,,
,11.02005,19.955441,70.4225,9.95,5.711,0.689,5639.579428,-64.027738,16.796518,24.034442,Leo,0.452480638,,,
,3.346887,43.978781,70.4225,8.82,4.581,0.731,5497.805817,32.435749,38.935343,48.900815,Per,1.281150056,,,
,15.708632,48.302543,70.4225,10.3,6.061,0.775,5357.20337,-26.446001,-38.665865,52.582206,Boo,0.327793245,,10.37,10.22
,0.953445,23.417648,70.4225,4.4,0.161,0.94,4891.57251,62.61915,15.963361,27.988017,And,75.09309425,,,
,18.494717,-1.985308,70.4225,5.38,1.141,0.961,4838.369719,9.08997,-69.791004,-2.439671,Ser,30.45089067,,,
,7.850655,33.233653,70.4722,6.06,1.82,0.15,8571.321931,-27.454995,52.161663,38.622566,Gem,16.29296033,,,
,6.942892,28.965727,70.4722,9.09,4.85,0.408,6837.926421,-15.065777,59.78782,34.128725,Gem,1,,,
,22.723941,-8.41862,70.4722,8.19,3.95,0.507,6357.311055,65.858785,-22.858296,-10.317448,Aqr,2.290867653,,,
,3.063957,-51.409601,70.4722,8.21,3.97,0.523,6286.382449,30.5575,31.598495,-55.083024,Hor,2.249054606,,,
,22.166919,4.098614,70.4722,7.63,3.39,0.524,6282.006032,62.351884,-32.453096,5.036882,Peg,3.837072455,,,
,1.022715,11.912723,70.4722,7.87,3.63,0.558,6137.016243,66.497579,18.24249,14.546976,Psc,3.076096815,,,
,13.655897,31.774162,70.4722,8.89,4.65,0.661,5738.526294,-54.368566,-25.166104,37.10872,CVn,1.202264435,,,
,22.941945,-76.797826,70.4722,9.56,5.32,0.696,5615.409874,15.481347,-4.401893,-68.609637,Oct,0.648634434,,,
,2.79707,64.285517,70.4722,10.76,6.52,0.997,4749.95263,22.738546,20.442823,63.493153,Cas,0.214783047,,10.824,10.694
,12.356031,-60.401147,70.4722,3.59,-0.65,1.389,3968.480126,-34.656852,-3.239447,-61.275879,Cru,158.4893192,,,
,12.419935,-11.61059,70.5219,5.95,1.708,0.043,9618.69338,-68.661818,-7.579151,-14.19316,Vir,18.06342083,,,
,11.427282,29.987339,70.5219,6.88,2.638,0.322,7324.850786,-60.396207,9.124132,35.247435,UMa,7.670081877,,,
,9.053213,-62.351599,70.5219,7.39,3.148,0.393,6917.737511,-23.46033,22.815743,-62.469138,Car,4.795125741,,,
,20.209243,25.653434,70.5219,7.44,3.198,0.424,6754.967419,34.751889,-53.230765,30.530807,Vul,4.579309532,,,
,10.533727,-11.424449,70.5219,7.42,3.178,0.425,6749.854896,-64.093913,25.887932,-13.968668,Sex,4.664445252,,,
,14.297001,48.002004,70.5219,6.32,2.078,0.466,6547.222485,-38.908552,-26.696134,52.409522,Boo,12.846949,,,
,15.197352,61.857032,70.5219,8.04,3.798,0.555,6149.519141,-22.274629,-24.703634,62.18382,Dra,2.63511759,BV,8.541,7.821
,15.987433,-8.71871,70.5219,9.07,4.828,0.563,6116.299237,-35.051915,-60.253018,-10.689964,Lib,1.020469432,,,
,22.033731,23.495573,70.5219,8.33,4.088,0.563,6116.299237,56.293568,-31.84162,28.115545,Peg,2.017437086,,,
,20.789698,-18.621223,70.5219,8.14,3.898,0.568,6095.73218,44.583954,-49.784861,-22.518372,Cap,2.403255805,,,
,17.209209,20.799979,70.5219,9.36,5.118,0.575,6067.186986,-13.551269,-64.517904,25.042794,Her,0.781267935,,9.424,9.314
,20.608629,29.208649,70.5219,8.84,4.598,0.59,6006.976021,38.845765,-47.749558,34.414102,Vul,1.261246575,,,
,19.569332,-55.028182,70.5219,9.77,5.528,0.599,5971.461669,16.143795,-37.057494,-57.788047,Tel,0.535549971,,9.83,9.72
,16.526218,8.29953,70.5219,8.26,4.018,0.602,5959.723557,-26.261768,-64.653164,10.179701,Her,2.15179057,,,
,15.701584,10.977424,70.5219,8.27,4.028,0.656,5756.588113,-39.189501,-57.071753,13.428934,Ser,2.132062836,,,
,13.782731,-19.940805,70.5219,8.89,4.648,0.677,5681.534895,-59.203668,-29.829393,-24.051432,Vir,1.204481129,,,
,7.565912,-50.866408,70.5219,9.6,5.358,0.747,5445.775584,-17.739657,40.820513,-54.702182,Pup,0.626325365,,,
,4.414992,-44.729538,70.5219,8.64,4.398,0.754,5423.341002,20.198243,45.849495,-49.630567,Cae,1.516351901,,,
,5.879153,-42.775295,70.5219,8.05,3.808,0.76,5404.267564,1.637511,51.738773,-47.893177,Col,2.610958687,,,
,10.451126,-62.006023,70.5219,8.95,4.708,0.77,5372.794137,-30.417148,13.05776,-62.270622,Car,1.139724804,,,
,12.64931,47.620468,70.5219,12.13,7.888,0.8,5280.671927,-46.849317,-8.041652,52.094259,,0.060925626,,12.29,11.93
,21.376454,-17.516587,70.5219,9.62,5.378,0.841,5160.067037,52.002575,-42.644288,-21.225814,Cap,0.614893639,,,
,16.433123,-1.091632,70.5219,10.3,6.058,0.856,5117.390963,-28.118994,-64.659535,-1.343543,Oph,0.328700224,,,
,2.157062,81.295945,70.5716,6.05,1.807,0.118,8857.284521,9.021561,5.715426,69.758724,Cep,16.48921573,,,
,17.69924,-44.021102,70.5716,9.83,5.587,0.345,7187.352686,-3.991668,-50.589669,-49.041846,Sco,0.50722424,,,
,18.847359,-22.16219,70.5716,6.29,2.047,0.39,6933.943452,14.380138,-63.755856,-26.621587,Sgr,13.21904253,,,
,12.840447,-47.22232,70.5716,7.96,3.717,0.48,6481.008924,-46.773404,-10.460807,-51.79897,Cen,2.839226239,,,
,22.500515,25.940987,70.5716,8.32,4.077,0.559,6132.860763,58.633759,-24.277594,30.871206,Peg,2.037980386,,,
,11.9248,51.002471,70.5716,8.86,4.617,0.569,6091.636613,-44.401176,0.874235,54.846349,UMa,1.239367205,,,
,8.151421,-42.074572,70.5716,9.6,5.357,0.602,5959.723557,-27.969037,44.292288,-47.290281,Pup,0.626902497,,,
,1.042393,-57.341377,70.5716,8.46,4.217,0.619,5894.132132,36.673331,10.264544,-59.41428,Phe,1.791430648,,,
,19.393487,-63.191922,70.5716,8.05,3.807,0.63,5852.509414,11.355334,-29.733481,-62.986722,Pav,2.613364576,,,
,2.571392,-37.501854,70.5716,9.1,4.857,0.642,5807.815552,43.772606,34.906782,-42.96308,For,0.993573501,,,
,20.840949,-82.263266,70.5716,9.3,5.057,0.646,5793.079693,6.432414,-6.991616,-69.929193,Oct,0.826418442,,,
,15.145272,-0.9809,70.5716,8.41,4.167,0.651,5774.772145,-47.961128,-51.755399,-1.208123,Lib,1.875858174,,,
,6.157698,-51.389439,70.5716,7.51,3.267,0.657,5752.966013,-1.817607,44.000821,-55.145034,Car,4.297342812,,,
,11.411937,31.009658,70.5716,9.8,5.557,0.681,5667.475723,-59.770138,9.275298,36.357258,UMa,0.521434785,,,
,10.571955,-9.163173,70.5716,10.21,5.967,0.823,5212.287346,-64.858434,25.444745,-11.238291,Sex,0.357437406,,,
,13.180071,45.179688,70.5716,11.06,6.817,0.853,5125.866147,-47.38977,-15.125013,50.057911,CVn,0.163380417,,11.156,10.976
,8.539532,-0.938002,70.5716,9.11,4.867,0.9,4996.415833,-43.532574,55.533152,-1.155291,Hya,0.984464364,,,
,4.042453,6.631134,70.5716,10.67,6.427,0.922,4938.170267,34.372873,61.093729,8.149392,Tau,0.233991456,,,
,21.676232,9.773717,70.5716,10.86,6.617,1.123,4465.583342,57.069541,-39.747912,11.980055,Peg,0.196426465,,10.926,10.806
,23.177012,7.767024,70.5716,12.09,7.847,1.224,4262.168962,68.30742,-14.949403,9.537422,,0.063270315,,12.179,11.859
,22.715311,12.333005,70.5716,11.53,7.287,,,65.080251,-22.752974,15.073612,Peg,0.105974164,,11.618,11.428
,9.607058,-48.751179,70.6215,6.18,1.935,0.277,7611.238099,-37.720659,27.299325,-53.096986,Vel,14.65547841,IM,6.189,6.169
,0.302191,3.796763,70.6215,7.2,2.955,0.309,7405.141199,70.246094,5.569026,4.676382,Psc,5.72796031,,,
,20.311816,-51.50558,70.6215,7.68,3.435,0.419,6780.656606,25.009797,-36.149341,-55.273243,Tel,3.681289736,,,
,10.101128,-42.524859,70.6215,7.43,3.185,0.431,6719.355134,-45.747049,24.821161,-47.73378,Vel,4.634469197,,,
,19.287868,28.78246,70.6215,7.6,3.355,0.453,6610.032095,20.476049,-58.411546,34.00322,Lyr,3.962780343,,,
,22.220418,27.318745,70.6215,7.24,2.995,0.48,6481.008924,56.057621,-28.186349,32.411077,Peg,5.520774393,,,
,8.713404,-36.513523,70.6215,8.63,4.385,0.5,6388.888889,-37.013656,43.030785,-42.020675,Pyx,1.534616983,,,
,23.709688,-28.181141,70.6215,8.27,4.025,0.516,6317.202555,62.070242,-4.726692,-33.351756,Scl,2.13796209,,,
,15.966048,-17.089993,70.6215,7.81,3.565,0.521,6295.155047,-34.269869,-58.157141,-20.753779,Lib,3.265878322,,,
,6.943452,-64.576182,70.6215,8.89,4.645,0.549,6174.690259,-7.412746,29.398406,-63.782296,Vol,1.207813835,,,
,7.985293,-41.58661,70.6215,8.5,4.255,0.56,6128.711337,-26.23448,45.846169,-46.875122,Pup,1.729816359,,,
,7.915053,32.284706,70.6215,7.47,3.225,0.566,6103.941118,-28.69472,52.356081,37.720888,Gem,4.466835922,,,
,10.752981,64.89791,70.6215,8.06,3.815,0.569,6091.636613,-28.37748,9.60813,63.951534,UMa,2.594179362,,,
,2.060283,21.280867,70.6215,9.2,4.955,0.689,5639.579428,56.463297,33.7983,25.631374,Ari,0.90782053,,,
,15.216766,-43.14506,70.6215,9.65,5.405,0.863,5097.730698,-34.310077,-38.443073,-48.294357,Lup,0.599791076,,,
,4.8142,5.544464,70.6215,10.57,6.325,0.96,4840.875442,21.472479,66.931093,6.823322,Ori,0.257039578,,10.623,10.513
,22.724993,-41.414347,70.6215,4.84,0.595,1.027,4678.833302,50.03923,-17.352188,-46.716271,Gru,50.35006088,,,
,5.858166,39.14848,70.6215,3.97,-0.275,1.132,4446.632863,2.033173,54.730173,44.585685,Aur,112.2018454,,,
,8.058405,21.302823,70.6215,11.91,7.665,1.412,3930.856006,-33.765493,56.471473,25.656588,Cnc,0.07481695,,12.014,11.814
,10.372155,41.499516,70.6215,3.06,-1.185,1.603,3644.884046,-48.161684,21.865099,46.794651,UMa,259.4179362,,,
,11.578877,17.024802,70.6215,11.89,7.645,,,-67.116752,7.429743,20.676962,Leo,0.076207901,,12.003,11.823
,2.895168,38.337488,70.6714,5.34,1.094,0.423,6760.088351,40.257612,38.106425,43.836964,Per,31.79801428,,,
,8.471796,56.60148,70.6714,7.73,3.484,0.453,6610.032095,-23.453455,31.036741,59.000871,Lyn,3.518843888,,,
,16.457125,21.224238,70.6714,7.99,3.744,0.491,6429.990488,-25.891922,-60.576352,25.584385,Her,2.769491267,,,
,15.900476,18.775087,70.6714,8.14,3.894,0.508,6352.82742,-34.953773,-57.055286,22.745876,Ser,2.412126056,,,
,20.743628,-10.494772,70.6714,8.21,3.964,0.545,6191.594697,45.73018,-52.321088,-12.8725,Aqr,2.261517746,,,
,5.915947,-65.96023,70.6714,8.56,4.314,0.548,6178.907041,0.633482,28.782484,-64.541569,Dor,1.63832478,,,
,22.595178,53.204006,70.6714,8.19,3.944,0.61,5928.662795,39.499197,-15.219466,56.591767,Lac,2.3035625,,,
,2.263173,-24.772348,70.6714,8.36,4.114,0.634,5837.529714,53.230639,35.833748,-29.6123,For,1.969699615,,,
,5.359226,86.866469,70.6714,8.52,4.274,0.636,5830.070651,0.645105,3.80888,70.565736,Cep,1.699808513,,,
,20.354232,28.106837,70.6714,8.5,4.254,0.683,5660.474009,36.033958,-50.867243,33.294508,Vul,1.731410313,,,
,23.022584,-35.095904,70.6714,9.3,5.054,0.695,5618.849102,55.939971,-14.634999,-40.632292,PsA,0.828705078,,,
,16.049156,-32.161974,70.6714,8.75,4.504,0.802,5274.649746,-29.244088,-52.192047,-37.619415,Lup,1.375308097,,,
,19.585754,51.343965,70.6714,7.99,3.744,0.898,5001.783153,17.804612,-40.394645,55.187999,Cyg,2.769491267,,,
,12.97656,49.847662,70.6714,10.15,5.904,0.907,4977.725905,-44.089279,-11.52407,54.016461,CVn,0.378791304,,10.244,10.094
,0.210807,-26.853062,70.6714,7.95,3.704,0.945,4878.793248,62.954822,3.478044,-31.922589,Scl,2.873425887,,,
,3.648487,-1.525485,70.7214,7.34,3.092,0.337,7234.535498,40.824922,57.717393,-1.882716,Eri,5.048937562,,,
,21.988212,-22.871831,70.7214,7.41,3.162,0.437,6689.152681,56.330234,-32.754468,-27.487322,Aqr,4.733692033,,,
,0.937001,-7.57729,70.7214,7.74,3.492,0.47,6528.155384,68.005202,17.024983,-9.325578,Cet,3.493011376,,,
,18.741954,57.285144,70.7214,7.7,3.452,0.54,6212.866018,7.377766,-37.50309,59.502775,Dra,3.624098559,,,
,20.172597,21.239406,70.7214,8.01,3.762,0.544,6195.836399,35.503797,-55.539316,25.619937,Sge,2.723955447,,,
,15.418382,-10.330237,70.7214,9.63,5.382,0.567,6099.833677,-43.524288,-54.280044,-12.681861,Lib,0.612632454,,,
,2.850085,-29.002557,70.7214,9.02,4.772,0.579,6051.004142,45.418964,41.986742,-34.289175,For,1.074484117,,,
,16.638164,-2.442166,70.7214,8.5,4.252,0.613,5917.104412,-24.661037,-66.214095,-3.013516,Oph,1.734602628,,,
,6.948623,-28.69671,70.7214,8.35,4.102,0.632,5845.009272,-15.248436,60.131696,-33.958516,CMa,1.991590289,,,
,16.565764,-46.395739,70.7214,9.58,5.332,0.668,5713.442622,-17.886562,-45.376637,-51.210821,Nor,0.641504933,,,
,13.60049,1.202189,70.7214,10.85,6.602,0.67,5706.318906,-64.5893,-28.766945,1.483779,Vir,0.199159029,,10.899,10.759
,8.303927,44.6125,70.7214,9.36,5.112,0.673,5695.668906,-28.558186,41.460984,49.668232,Lyn,0.785597332,,,
,12.789167,-19.004459,70.7214,7.23,2.982,0.674,5692.128353,-65.444576,-13.716792,-23.029839,Crv,5.58727439,,,
,21.614343,-35.885933,70.7214,8.67,4.422,0.704,5588.057183,46.480778,-33.504269,-41.455008,PsA,1.483200967,,,
,11.562521,19.56273,70.7214,9.54,5.292,0.711,5564.356012,-66.202448,7.615612,23.680261,Leo,0.665579596,,,
,21.700192,-23.262858,70.7214,5.24,0.992,0.991,4764.451256,53.546638,-36.797591,-27.931264,Cap,34.93011376,,,
,8.947218,45.631646,70.7214,5.72,1.472,1.125,4461.357473,-34.482375,35.448931,50.556208,Lyn,22.44915508,,,
,10.556008,47.409755,70.7214,11.2,6.952,1.148,4413.356817,-44.481272,17.665449,52.065966,UMa,0.144277962,,11.266,11.106
,11.047232,35.182911,70.7214,11.93,7.682,,,-56.01293,14.268786,40.748862,UMa,0.073654621,,12.043,11.803
,0.027597,73.611846,70.7714,6.5,2.251,0.182,8304.980143,19.96712,0.144423,67.896054,Cep,10.95468767,,,
,4.556001,43.031921,70.7714,6.8,2.551,0.213,8063.742775,19.094164,48.079279,48.294821,Per,8.30998041,,,
,3.840385,-10.319876,70.7714,8.18,3.931,0.45,6624.712472,37.301838,58.791378,-12.678237,Eri,2.331309857,,,
